Lat,Lon,HDI,Lake_ID,District,State
19.72987163,85.3715512,0.630764308,2,PURI,ODISHA
33.706875,78.794125,0.653395554,3,LEH,LADAKH
24.43497065,75.49625021,0.560795964,4,NIMACH,MADHYA_PRADESH
21.63640313,83.79845371,0.619274671,5,JHARSUGUDA,ODISHA
15.99887032,78.29375104,0.649290144,6,KURNOOL,ANDHRA_PRADESH
21.35004391,73.80872227,0.601771968,7,TAPI,GUJARAT
24.01680642,69.0097168,0.640560808,8,KACHCHH,GUJARAT
24.10078749,82.82236388,0.68079623,9,SONBHADRA,UTTAR_PRADESH
21.3357515,84.972047,0.495431609,10,DEOGARH,ODISHA
24.23675,69.4575,0.46730909,11,KACHCHH,GUJARAT
15.20235059,76.1970625,0.672763689,12,BALLARI,KARNATAKA
19.52951869,75.24266202,0.695241522,13,AHAMADNAGAR,MAHARASHTRA
18.9709365,78.265944,0.611137405,14,NIZAMABAD,TELANGANA
35.20027248,79.87190261,,15,LEH,LADAKH
16.50380411,79.19813234,0.598784929,16,NALGONDA,TELANGANA
33.22143303,73.71434662,0.625620219,17,MIRPUR,JAMMU_AND_KASHMIR
18.20827987,75.00904766,0.675612784,18,SOLAPUR,MAHARASHTRA
31.99563138,76.05404846,0.686136381,20,KANGRA,HIMACHAL_PRADESH
14.03945931,74.93106258,0.596039455,21,SHIVAMOGGA,KARNATAKA
24.66380933,78.26160937,0.565079801,22,ASHOKNAGAR,MADHYA_PRADESH
14.380366,79.1837075,0.591294959,23,Y_S_R_KADAPA,ANDHRA_PRADESH
22.444722,78.0562945,0.534079675,24,HOSHANGABAD,MADHYA_PRADESH
22.6507505,82.73142525,0.573145636,25,KORBA,CHHATTISGARH
11.89585563,77.79509615,0.645876606,26,SALEM,TAMIL_NADU
17.82691883,77.86278177,0.621594175,28,SANGAREDDY,TELANGANA
23.56443273,74.56307598,0.629526513,29,BANSWARA,RAJASTHAN
16.154314,76.2665825,0.601628342,30,VIJAYAPURA,KARNATAKA
18.14315479,77.95345336,0.595082226,31,KAMAREDDY,TELANGANA
22.44121255,88.80470978,0.579292794,32,NORTH_TWENTY_FOUR_PARGANAS,WEST_BENGAL
13.64864038,75.57663798,0.629828468,33,CHIKKAMAGALURU,KARNATAKA
12.46379922,76.48521251,0.63205156,34,MYSURU,KARNATAKA
25.0603643,78.33396645,0.571008139,35,SHIVPURI,MADHYA_PRADESH
18.6532025,82.7976295,0.601497089,36,KORAPUT,ODISHA
15.248138,74.4616235,0.601663274,37,UTTARA__KANNADA,KARNATAKA
34.35387249,74.56575811,0.686334104,38,BANDIPURA,JAMMU_AND_KASHMIR
19.2439416,82.83057205,0.543987256,39,KALAHANDI,ODISHA
31.4136714,76.48750077,0.692063749,40,BILASPUR,HIMACHAL_PRADESH
17.60089565,73.75014547,0.58027667,41,SATARA,MAHARASHTRA
19.76568711,76.6881131,0.59893494,42,HINGOLI,MAHARASHTRA
23.0004195,86.748825,0.542732343,43,BANKURA,WEST_BENGAL
20.575642,81.5064815,0.58086417,44,DHAMTARI,CHHATTISGARH
22.56637383,88.7370528,0.599201668,45,NORTH_TWENTY_FOUR_PARGANAS,WEST_BENGAL
14.33706768,79.57282653,0.591731151,46,POTTI_SRIRAMULU_NELLORE,ANDHRA_PRADESH
24.02673842,72.91353915,0.57025061,47,SABAR_KANTHA,GUJARAT
19.77370797,77.37935137,0.627590321,48,HINGOLI,MAHARASHTRA
26.95531253,75.04579232,0.553087513,49,NAGAUR,RAJASTHAN
25.06351893,88.24578355,0.565313998,50,MALDAH,WEST_BENGAL
23.35409592,73.89889618,0.530548499,51,DUNGARPUR,RAJASTHAN
